stage,seed,P,R,mAP50,mAP75,mAP50-95,APS,APM,APL,structure
d0_original,0,82.785880510924,79.786772205163,85.446823286903,56.792294828391,51.306927790984,18.087718139706,44.071541873175,53.749660039085,"Original YOLOv13, Detect(P3,P4,P5)"
d0_original,1,83.285186973023,79.339954435540,85.519093978921,56.400948817332,51.199576715450,17.000445122199,43.604525258210,53.968866530946,"Original YOLOv13, Detect(P3,P4,P5)"
d0_original,2,82.624405629250,78.909721328216,84.936877640962,56.827792716398,51.275728341736,18.266338269976,43.837410817220,54.575930814502,"Original YOLOv13, Detect(P3,P4,P5)"
